0years,1years,2years,3years,4years,5years,6years,7years,8years,9years,10years,11years,12years,13years,14years,15years,16years,17years
0.028821701045493076,0.02839643652561247,0.027729950158586317,0.027055702917771884,0.02665737433574353,0.0032891731384193696,0.0033152223961690763,0.0033410672853828307,0.0033651149747616375,0,0,0,0,0,0,0,0,0
0.028821701045493076,0.02839643652561247,0.027729950158586317,0.027055702917771884,0.02665737433574353,0.0032891731384193696,0.0033152223961690763,0.0033410672853828307,0.0033651149747616375,0.0033856860716636886,0,0,0,0,0,0,0,0
0.028821701045493076,0.02839643652561247,0.027729950158586317,0.027055702917771884,0.02665737433574353,0.0032891731384193696,0.0033152223961690763,0.0033410672853828307,0.0033651149747616375,0.0033856860716636886,0.002805456128470543,0,0,0,0,0,0,0
0.028821701045493076,0.02839643652561247,0.027729950158586317,0.027055702917771884,0.02665737433574353,0.0032891731384193696,0.0033152223961690763,0.0033410672853828307,0.0033651149747616375,0.0033856860716636886,0.002805456128470543,0.0028147141609240027,0,0,0,0,0,0
0.028821701045493076,0.02839643652561247,0.027729950158586317,0.027055702917771884,0.02665737433574353,0.0032891731384193696,0.0033152223961690763,0.0033410672853828307,0.0033651149747616375,0.0033856860716636886,0.002805456128470543,0.0028147141609240027,0.002833691616181356,0,0,0,0,0
0.028821701045493076,0.02839643652561247,0.027729950158586317,0.027055702917771884,0.02665737433574353,0.0032891731384193696,0.0033152223961690763,0.0033410672853828307,0.0033651149747616375,0.0033856860716636886,0.002805456128470543,0.0028147141609240027,0.002833691616181356,0.00286080694485548,0,0,0,0
0.028821701045493076,0.02839643652561247,0.027729950158586317,0.027055702917771884,0.02665737433574353,0.0032891731384193696,0.0033152223961690763,0.0033410672853828307,0.0033651149747616375,0.0033856860716636886,0.002805456128470543,0.0028147141609240027,0.002833691616181356,0.00286080694485548,0.002893345305796668,0,0,0
0.028821701045493076,0.02839643652561247,0.027729950158586317,0.027055702917771884,0.02665737433574353,0.0032891731384193696,0.0033152223961690763,0.0033410672853828307,0.0033651149747616375,0.0033856860716636886,0.002805456128470543,0.0028147141609240027,0.002833691616181356,0.00286080694485548,0.002893345305796668,0.005584756898817346,0,0
0.028821701045493076,0.02839643652561247,0.027729950158586317,0.027055702917771884,0.02665737433574353,0.0032891731384193696,0.0033152223961690763,0.0033410672853828307,0.0033651149747616375,0.0033856860716636886,0.002805456128470543,0.0028147141609240027,0.002833691616181356,0.00286080694485548,0.002893345305796668,0.005584756898817346,0.0056919642857142854,0
0.028821701045493076,0.02839643652561247,0.027729950158586317,0.027055702917771884,0.02665737433574353,0.0032891731384193696,0.0033152223961690763,0.0033410672853828307,0.0033651149747616375,0.0033856860716636886,0.002805456128470543,0.0028147141609240027,0.002833691616181356,0.00286080694485548,0.002893345305796668,0.005584756898817346,0.0056919642857142854,0.00581130355515041
0.028821701045493076,0.02839643652561247,0.027729950158586317,0.027055702917771884,0.02665737433574353,0.0032891731384193696,0.0033152223961690763,0.0033410672853828307,0.0033651149747616375,0.0033856860716636886,0.002805456128470543,0.0028147141609240027,0.002833691616181356,0.00286080694485548,0.002893345305796668,0.005584756898817346,0.0056919642857142854,0.00581130355515041
0.028821701045493076,0.02839643652561247,0.027729950158586317,0.027055702917771884,0.02665737433574353,0.0032891731384193696,0.0033152223961690763,0.0033410672853828307,0.0033651149747616375,0.0033856860716636886,0.002805456128470543,0.0028147141609240027,0.002833691616181356,0.00286080694485548,0.002893345305796668,0.005584756898817346,0.0056919642857142854,0.00581130355515041
0.028821701045493076,0.02839643652561247,0.027729950158586317,0.027055702917771884,0.02665737433574353,0.0032891731384193696,0.0033152223961690763,0.0033410672853828307,0.0033651149747616375,0.0033856860716636886,0.002805456128470543,0.0028147141609240027,0.002833691616181356,0.00286080694485548,0.002893345305796668,0.005584756898817346,0.0056919642857142854,0.00581130355515041
0.028821701045493076,0.02839643652561247,0.027729950158586317,0.027055702917771884,0.02665737433574353,0.0032891731384193696,0.0033152223961690763,0.0033410672853828307,0.0033651149747616375,0.0033856860716636886,0.002805456128470543,0.0028147141609240027,0.002833691616181356,0.00286080694485548,0.002893345305796668,0.005584756898817346,0.0056919642857142854,0.00581130355515041
0.028821701045493076,0.02839643652561247,0.027729950158586317,0.027055702917771884,0.02665737433574353,0.0032891731384193696,0.0033152223961690763,0.0033410672853828307,0.0033651149747616375,0.0033856860716636886,0.002805456128470543,0.0028147141609240027,0.002833691616181356,0.00286080694485548,0.002893345305796668,0.005584756898817346,0.0056919642857142854,0.00581130355515041
0.028821701045493076,0.02839643652561247,0.027729950158586317,0.027055702917771884,0.02665737433574353,0.0032891731384193696,0.0033152223961690763,0.0033410672853828307,0.0033651149747616375,0.0033856860716636886,0.002805456128470543,0.0028147141609240027,0.002833691616181356,0.00286080694485548,0.002893345305796668,0.005584756898817346,0.0056919642857142854,0.00581130355515041
0.028821701045493076,0.02839643652561247,0.027729950158586317,0.027055702917771884,0.02665737433574353,0.0032891731384193696,0.0033152223961690763,0.0033410672853828307,0.0033651149747616375,0.0033856860716636886,0.002805456128470543,0.0028147141609240027,0.002833691616181356,0.00286080694485548,0.002893345305796668,0.005584756898817346,0.0056919642857142854,0.00581130355515041
0.028821701045493076,0.02839643652561247,0.027729950158586317,0.027055702917771884,0.02665737433574353,0.0032891731384193696,0.0033152223961690763,0.0033410672853828307,0.0033651149747616375,0.0033856860716636886,0.002805456128470543,0.0028147141609240027,0.002833691616181356,0.00286080694485548,0.002893345305796668,0.005584756898817346,0.0056919642857142854,0.00581130355515041
0.028821701045493076,0.02839643652561247,0.027729950158586317,0.027055702917771884,0.02665737433574353,0.0032891731384193696,0.0033152223961690763,0.0033410672853828307,0.0033651149747616375,0.0033856860716636886,0.002805456128470543,0.0028147141609240027,0.002833691616181356,0.00286080694485548,0.002893345305796668,0.005584756898817346,0.0056919642857142854,0.00581130355515041
0.028821701045493076,0.02839643652561247,0.027729950158586317,0.027055702917771884,0.02665737433574353,0.0032891731384193696,0.0033152223961690763,0.0033410672853828307,0.0033651149747616375,0.0033856860716636886,0.002805456128470543,0.0028147141609240027,0.002833691616181356,0.00286080694485548,0.002893345305796668,0.005584756898817346,0.0056919642857142854,0.00581130355515041
0.028821701045493076,0.02839643652561247,0.027729950158586317,0.027055702917771884,0.02665737433574353,0.0032891731384193696,0.0033152223961690763,0.0033410672853828307,0.0033651149747616375,0.0033856860716636886,0.002805456128470543,0.0028147141609240027,0.002833691616181356,0.00286080694485548,0.002893345305796668,0.005584756898817346,0.0056919642857142854,0.00581130355515041
0.028821701045493076,0.02839643652561247,0.027729950158586317,0.027055702917771884,0.02665737433574353,0.0032891731384193696,0.0033152223961690763,0.0033410672853828307,0.0033651149747616375,0.0033856860716636886,0.002805456128470543,0.0028147141609240027,0.002833691616181356,0.00286080694485548,0.002893345305796668,0.005584756898817346,0.0056919642857142854,0.00581130355515041
0.028821701045493076,0.02839643652561247,0.027729950158586317,0.027055702917771884,0.02665737433574353,0.0032891731384193696,0.0033152223961690763,0.0033410672853828307,0.0033651149747616375,0.0033856860716636886,0.002805456128470543,0.0028147141609240027,0.002833691616181356,0.00286080694485548,0.002893345305796668,0.005584756898817346,0.0056919642857142854,0.00581130355515041
0.028821701045493076,0.02839643652561247,0.027729950158586317,0.027055702917771884,0.02665737433574353,0.0032891731384193696,0.0033152223961690763,0.0033410672853828307,0.0033651149747616375,0.0033856860716636886,0.002805456128470543,0.0028147141609240027,0.002833691616181356,0.00286080694485548,0.002893345305796668,0.005584756898817346,0.0056919642857142854,0.00581130355515041
0.028821701045493076,0.02839643652561247,0.027729950158586317,0.027055702917771884,0.02665737433574353,0.0032891731384193696,0.0033152223961690763,0.0033410672853828307,0.0033651149747616375,0.0033856860716636886,0.002805456128470543,0.0028147141609240027,0.002833691616181356,0.00286080694485548,0.002893345305796668,0.005584756898817346,0.0056919642857142854,0.00581130355515041
0.028821701045493076,0.02839643652561247,0.027729950158586317,0.027055702917771884,0.02665737433574353,0.0032891731384193696,0.0033152223961690763,0.0033410672853828307,0.0033651149747616375,0.0033856860716636886,0.002805456128470543,0.0028147141609240027,0.002833691616181356,0.00286080694485548,0.002893345305796668,0.005584756898817346,0.0056919642857142854,0.00581130355515041
0.028821701045493076,0.02839643652561247,0.027729950158586317,0.027055702917771884,0.02665737433574353,0.0032891731384193696,0.0033152223961690763,0.0033410672853828307,0.0033651149747616375,0.0033856860716636886,0.002805456128470543,0.0028147141609240027,0.002833691616181356,0.00286080694485548,0.002893345305796668,0.005584756898817346,0.0056919642857142854,0.00581130355515041
0,0.02839643652561247,0.027729950158586317,0.027055702917771884,0.02665737433574353,0.0032891731384193696,0.0033152223961690763,0.0033410672853828307,0.0033651149747616375,0.0033856860716636886,0.002805456128470543,0.0028147141609240027,0.002833691616181356,0.00286080694485548,0.002893345305796668,0.005584756898817346,0.0056919642857142854,0.00581130355515041
0,0,0.027729950158586317,0.027055702917771884,0.02665737433574353,0.0032891731384193696,0.0033152223961690763,0.0033410672853828307,0.0033651149747616375,0.0033856860716636886,0.002805456128470543,0.0028147141609240027,0.002833691616181356,0.00286080694485548,0.002893345305796668,0.005584756898817346,0.0056919642857142854,0.00581130355515041
0,0,0,0.027055702917771884,0.02665737433574353,0.0032891731384193696,0.0033152223961690763,0.0033410672853828307,0.0033651149747616375,0.0033856860716636886,0.002805456128470543,0.0028147141609240027,0.002833691616181356,0.00286080694485548,0.002893345305796668,0.005584756898817346,0.0056919642857142854,0.00581130355515041
0,0,0,0,0.02665737433574353,0.0032891731384193696,0.0033152223961690763,0.0033410672853828307,0.0033651149747616375,0.0033856860716636886,0.002805456128470543,0.0028147141609240027,0.002833691616181356,0.00286080694485548,0.002893345305796668,0.005584756898817346,0.0056919642857142854,0.00581130355515041
0,0,0,0,0,0.0032891731384193696,0.0033152223961690763,0.0033410672853828307,0.0033651149747616375,0.0033856860716636886,0.002805456128470543,0.0028147141609240027,0.002833691616181356,0.00286080694485548,0.002893345305796668,0.005584756898817346,0.0056919642857142854,0.00581130355515041
0,0,0,0,0,0,0.0033152223961690763,0.0033410672853828307,0.0033651149747616375,0.0033856860716636886,0.002805456128470543,0.0028147141609240027,0.002833691616181356,0.00286080694485548,0.002893345305796668,0.005584756898817346,0.0056919642857142854,0.00581130355515041
0,0,0,0,0,0,0,0.0033410672853828307,0.0033651149747616375,0.0033856860716636886,0.002805456128470543,0.0028147141609240027,0.002833691616181356,0.00286080694485548,0.002893345305796668,0.005584756898817346,0.0056919642857142854,0.00581130355515041
0,0,0,0,0,0,0,0,0.0033651149747616375,0.0033856860716636886,0.002805456128470543,0.0028147141609240027,0.002833691616181356,0.00286080694485548,0.002893345305796668,0.005584756898817346,0.0056919642857142854,0.00581130355515041
0,0,0,0,0,0,0,0,0,0.0033856860716636886,0.002805456128470543,0.0028147141609240027,0.002833691616181356,0.00286080694485548,0.002893345305796668,0.005584756898817346,0.0056919642857142854,0.00581130355515041
0,0,0,0,0,0,0,0,0,0,0.002805456128470543,0.0028147141609240027,0.002833691616181356,0.00286080694485548,0.002893345305796668,0.005584756898817346,0.0056919642857142854,0.00581130355515041
0,0,0,0,0,0,0,0,0,0,0,0.0028147141609240027,0.002833691616181356,0.00286080694485548,0.002893345305796668,0.005584756898817346,0.0056919642857142854,0.00581130355515041
0,0,0,0,0,0,0,0,0,0,0,0,0.002833691616181356,0.00286080694485548,0.002893345305796668,0.005584756898817346,0.0056919642857142854,0.00581130355515041
0,0,0,0,0,0,0,0,0,0,0,0,0,0.00286080694485548,0.002893345305796668,0.005584756898817346,0.0056919642857142854,0.00581130355515041
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002893345305796668,0.005584756898817346,0.0056919642857142854,0.00581130355515041
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005584756898817346,0.0056919642857142854,0.00581130355515041
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0056919642857142854,0.00581130355515041
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00581130355515041
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
