"","X","age","gender","deaths.x","deaths.y","deaths"
"1",1,"0-14","Female",62,161,88
"2",2,"0-14","Male",76,187,131
"3",3,"15-24","Female",1188.8,3621.2,2446
"4",4,"15-24","Male",4693.2,10814.6,6310
"5",5,"25-34","Female",5838.4,13166.2,7422
"6",6,"25-34","Male",15780.8,35918.8,20188
"7",7,"35-44","Female",10540.2,24864.2,14439
"8",8,"35-44","Male",26322,59197.8,32666
"9",9,"45-54","Female",9500,19602.4,10201
"10",10,"45-54","Male",23997.6,56001.8,31672
"11",11,"55-64","Female",31678.2,71132.4,39756
"12",12,"55-64","Male",66612,130332.6,63769
"13",13,"65-74","Female",80068.2,155477,75450
"14",14,"65-74","Male",130162.4,237687.2,107681
"15",15,"75-84","Female",95271.2,170745.6,75264
"16",16,"75-84","Male",127300.8,215697.4,88286
"17",17,"85+","Female",100441,136002.6,35548
"18",18,"85+","Male",79848.4,125541.4,45648
