0years,1years,2years,3years,4years,5years,6years,7years,8years,9years,10years,11years,12years,13years,14years,15years,16years,17years
0.003015075376884422,0.002974714923153198,0.002962962962962963,0.0029354207436399216,0.0028462998102466793,4.0096230954290296e-4,4.079967360261118e-4,4.1911148365465214e-4,4.306632213608958e-4,4.4072278536800354e-4,4.526935264825713e-4,4.578754578754579e-4,4.636068613815484e-4,4.6816479400749064e-4,4.71253534401508e-4,0.002152389151958674,0.002109704641350211,0.002061855670103093
0,0.002974714923153198,0.002962962962962963,0.0029354207436399216,0.0028462998102466793,4.0096230954290296e-4,4.079967360261118e-4,4.1911148365465214e-4,4.306632213608958e-4,4.4072278536800354e-4,4.526935264825713e-4,4.578754578754579e-4,4.636068613815484e-4,4.6816479400749064e-4,4.71253534401508e-4,0.002152389151958674,0.002109704641350211,0.002061855670103093
0,0,0.002962962962962963,0.0029354207436399216,0.0028462998102466793,4.0096230954290296e-4,4.079967360261118e-4,4.1911148365465214e-4,4.306632213608958e-4,4.4072278536800354e-4,4.526935264825713e-4,4.578754578754579e-4,4.636068613815484e-4,4.6816479400749064e-4,4.71253534401508e-4,0.002152389151958674,0.002109704641350211,0.002061855670103093
0,0,0,0.0029354207436399216,0.0028462998102466793,4.0096230954290296e-4,4.079967360261118e-4,4.1911148365465214e-4,4.306632213608958e-4,4.4072278536800354e-4,4.526935264825713e-4,4.578754578754579e-4,4.636068613815484e-4,4.6816479400749064e-4,4.71253534401508e-4,0.002152389151958674,0.002109704641350211,0.002061855670103093
0,0,0,0,0.0028462998102466793,4.0096230954290296e-4,4.079967360261118e-4,4.1911148365465214e-4,4.306632213608958e-4,4.4072278536800354e-4,4.526935264825713e-4,4.578754578754579e-4,4.636068613815484e-4,4.6816479400749064e-4,4.71253534401508e-4,0.002152389151958674,0.002109704641350211,0.002061855670103093
0,0,0,0,0,4.0096230954290296e-4,4.079967360261118e-4,4.1911148365465214e-4,4.306632213608958e-4,4.4072278536800354e-4,4.526935264825713e-4,4.578754578754579e-4,4.636068613815484e-4,4.6816479400749064e-4,4.71253534401508e-4,0.002152389151958674,0.002109704641350211,0.002061855670103093
0,0,0,0,0,0,4.079967360261118e-4,4.1911148365465214e-4,4.306632213608958e-4,4.4072278536800354e-4,4.526935264825713e-4,4.578754578754579e-4,4.636068613815484e-4,4.6816479400749064e-4,4.71253534401508e-4,0.002152389151958674,0.002109704641350211,0.002061855670103093
0,0,0,0,0,0,0,4.1911148365465214e-4,4.306632213608958e-4,4.4072278536800354e-4,4.526935264825713e-4,4.578754578754579e-4,4.636068613815484e-4,4.6816479400749064e-4,4.71253534401508e-4,0.002152389151958674,0.002109704641350211,0.002061855670103093
0,0,0,0,0,0,0,0,4.306632213608958e-4,4.4072278536800354e-4,4.526935264825713e-4,4.578754578754579e-4,4.636068613815484e-4,4.6816479400749064e-4,4.71253534401508e-4,0.002152389151958674,0.002109704641350211,0.002061855670103093
0,0,0,0,0,0,0,0,0,4.4072278536800354e-4,4.526935264825713e-4,4.578754578754579e-4,4.636068613815484e-4,4.6816479400749064e-4,4.71253534401508e-4,0.002152389151958674,0.002109704641350211,0.002061855670103093
0,0,0,0,0,0,0,0,0,0,4.526935264825713e-4,4.578754578754579e-4,4.636068613815484e-4,4.6816479400749064e-4,4.71253534401508e-4,0.002152389151958674,0.002109704641350211,0.002061855670103093
0,0,0,0,0,0,0,0,0,0,0,4.578754578754579e-4,4.636068613815484e-4,4.6816479400749064e-4,4.71253534401508e-4,0.002152389151958674,0.002109704641350211,0.002061855670103093
0,0,0,0,0,0,0,0,0,0,0,0,4.636068613815484e-4,4.6816479400749064e-4,4.71253534401508e-4,0.002152389151958674,0.002109704641350211,0.002061855670103093
0,0,0,0,0,0,0,0,0,0,0,0,0,4.6816479400749064e-4,4.71253534401508e-4,0.002152389151958674,0.002109704641350211,0.002061855670103093
0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.71253534401508e-4,0.002152389151958674,0.002109704641350211,0.002061855670103093
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002152389151958674,0.002109704641350211,0.002061855670103093
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002109704641350211,0.002061855670103093
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002061855670103093
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
