prob,father_age,child_age,gender
0,1,0,male
0,2,0,male
0,3,0,male
0,4,0,male
0,5,0,male
0,6,0,male
0,7,0,male
0,8,0,male
0,9,0,male
0,10,0,male
0,11,0,male
0,12,0,male
0,13,0,male
0,14,0,male
0.00157515227952696,15,0,male
0.00157515227952696,16,0,male
0.00157515227952696,17,0,male
0.00157515227952696,18,0,male
0.00157515227952696,19,0,male
0.0224758807390626,20,0,male
0.0224758807390626,21,0,male
0.0224758807390626,22,0,male
0.0224758807390626,23,0,male
0.0224758807390626,24,0,male
0.070711325156316,25,0,male
0.070711325156316,26,0,male
0.070711325156316,27,0,male
0.070711325156316,28,0,male
0.070711325156316,29,0,male
0.0882510804246665,30,0,male
0.0882510804246665,31,0,male
0.0882510804246665,32,0,male
0.0882510804246665,33,0,male
0.0882510804246665,34,0,male
0.0513698522357191,35,0,male
0.0513698522357191,36,0,male
0.0513698522357191,37,0,male
0.0513698522357191,38,0,male
0.0513698522357191,39,0,male
0.0204860512465321,40,0,male
0.0204860512465321,41,0,male
0.0204860512465321,42,0,male
0.0204860512465321,43,0,male
0.0204860512465321,44,0,male
0.00552241759519773,45,0,male
0.00552241759519773,46,0,male
0.00552241759519773,47,0,male
0.00552241759519773,48,0,male
0.00552241759519773,49,0,male
4.39884113954611e-4,50,0,male
4.39884113954611e-4,51,0,male
4.39884113954611e-4,52,0,male
4.39884113954611e-4,53,0,male
4.39884113954611e-4,54,0,male
4.39884113954611e-4,55,0,male
4.39884113954611e-4,56,0,male
4.39884113954611e-4,57,0,male
4.39884113954611e-4,58,0,male
4.39884113954611e-4,59,0,male
4.39884113954611e-4,60,0,male
4.39884113954611e-4,61,0,male
4.39884113954611e-4,62,0,male
4.39884113954611e-4,63,0,male
4.39884113954611e-4,64,0,male
4.39884113954611e-4,65,0,male
4.39884113954611e-4,66,0,male
4.39884113954611e-4,67,0,male
4.39884113954611e-4,68,0,male
4.39884113954611e-4,69,0,male
4.39884113954611e-4,70,0,male
4.39884113954611e-4,71,0,male
4.39884113954611e-4,72,0,male
4.39884113954611e-4,73,0,male
4.39884113954611e-4,74,0,male
4.39884113954611e-4,75,0,male
4.39884113954611e-4,76,0,male
4.39884113954611e-4,77,0,male
4.39884113954611e-4,78,0,male
4.39884113954611e-4,79,0,male
4.39884113954611e-4,80,0,male
4.39884113954611e-4,81,0,male
4.39884113954611e-4,82,0,male
4.39884113954611e-4,83,0,male
4.39884113954611e-4,84,0,male
4.39884113954611e-4,85,0,male
4.39884113954611e-4,86,0,male
4.39884113954611e-4,87,0,male
4.39884113954611e-4,88,0,male
4.39884113954611e-4,89,0,male
4.39884113954611e-4,90,0,male
4.39884113954611e-4,91,0,male
4.39884113954611e-4,92,0,male
4.39884113954611e-4,93,0,male
4.39884113954611e-4,94,0,male
4.39884113954611e-4,95,0,male
