"0years","1years","2years","3years","4years","5years","6years","7years","8years","9years","10years","11years","12years","13years","14years","15years","16years","17years"
0.00301507537688442,0.0029747149231532,0.00296296296296296,0.00293542074363992,0.00284629981024668,0.000400962309542903,0.000407996736026112,0.000419111483654652,0.000430663221360896,0,0,0,0,0,0,0,0,0
0.00301507537688442,0.0029747149231532,0.00296296296296296,0.00293542074363992,0.00284629981024668,0.000400962309542903,0.000407996736026112,0.000419111483654652,0.000430663221360896,0.000440722785368004,0,0,0,0,0,0,0,0
0.00301507537688442,0.0029747149231532,0.00296296296296296,0.00293542074363992,0.00284629981024668,0.000400962309542903,0.000407996736026112,0.000419111483654652,0.000430663221360896,0.000440722785368004,0.000452693526482571,0,0,0,0,0,0,0
0.00301507537688442,0.0029747149231532,0.00296296296296296,0.00293542074363992,0.00284629981024668,0.000400962309542903,0.000407996736026112,0.000419111483654652,0.000430663221360896,0.000440722785368004,0.000452693526482571,0.000457875457875458,0,0,0,0,0,0
0.00301507537688442,0.0029747149231532,0.00296296296296296,0.00293542074363992,0.00284629981024668,0.000400962309542903,0.000407996736026112,0.000419111483654652,0.000430663221360896,0.000440722785368004,0.000452693526482571,0.000457875457875458,0.000463606861381548,0,0,0,0,0
0.00301507537688442,0.0029747149231532,0.00296296296296296,0.00293542074363992,0.00284629981024668,0.000400962309542903,0.000407996736026112,0.000419111483654652,0.000430663221360896,0.000440722785368004,0.000452693526482571,0.000457875457875458,0.000463606861381548,0.000468164794007491,0,0,0,0
0.00301507537688442,0.0029747149231532,0.00296296296296296,0.00293542074363992,0.00284629981024668,0.000400962309542903,0.000407996736026112,0.000419111483654652,0.000430663221360896,0.000440722785368004,0.000452693526482571,0.000457875457875458,0.000463606861381548,0.000468164794007491,0.000471253534401508,0,0,0
0.00301507537688442,0.0029747149231532,0.00296296296296296,0.00293542074363992,0.00284629981024668,0.000400962309542903,0.000407996736026112,0.000419111483654652,0.000430663221360896,0.000440722785368004,0.000452693526482571,0.000457875457875458,0.000463606861381548,0.000468164794007491,0.000471253534401508,0.00215238915195867,0,0
0.00301507537688442,0.0029747149231532,0.00296296296296296,0.00293542074363992,0.00284629981024668,0.000400962309542903,0.000407996736026112,0.000419111483654652,0.000430663221360896,0.000440722785368004,0.000452693526482571,0.000457875457875458,0.000463606861381548,0.000468164794007491,0.000471253534401508,0.00215238915195867,0.00210970464135021,0
0.00301507537688442,0.0029747149231532,0.00296296296296296,0.00293542074363992,0.00284629981024668,0.000400962309542903,0.000407996736026112,0.000419111483654652,0.000430663221360896,0.000440722785368004,0.000452693526482571,0.000457875457875458,0.000463606861381548,0.000468164794007491,0.000471253534401508,0.00215238915195867,0.00210970464135021,0.00206185567010309
0.00301507537688442,0.0029747149231532,0.00296296296296296,0.00293542074363992,0.00284629981024668,0.000400962309542903,0.000407996736026112,0.000419111483654652,0.000430663221360896,0.000440722785368004,0.000452693526482571,0.000457875457875458,0.000463606861381548,0.000468164794007491,0.000471253534401508,0.00215238915195867,0.00210970464135021,0.00206185567010309
0.00301507537688442,0.0029747149231532,0.00296296296296296,0.00293542074363992,0.00284629981024668,0.000400962309542903,0.000407996736026112,0.000419111483654652,0.000430663221360896,0.000440722785368004,0.000452693526482571,0.000457875457875458,0.000463606861381548,0.000468164794007491,0.000471253534401508,0.00215238915195867,0.00210970464135021,0.00206185567010309
0.00301507537688442,0.0029747149231532,0.00296296296296296,0.00293542074363992,0.00284629981024668,0.000400962309542903,0.000407996736026112,0.000419111483654652,0.000430663221360896,0.000440722785368004,0.000452693526482571,0.000457875457875458,0.000463606861381548,0.000468164794007491,0.000471253534401508,0.00215238915195867,0.00210970464135021,0.00206185567010309
0.00301507537688442,0.0029747149231532,0.00296296296296296,0.00293542074363992,0.00284629981024668,0.000400962309542903,0.000407996736026112,0.000419111483654652,0.000430663221360896,0.000440722785368004,0.000452693526482571,0.000457875457875458,0.000463606861381548,0.000468164794007491,0.000471253534401508,0.00215238915195867,0.00210970464135021,0.00206185567010309
0.00301507537688442,0.0029747149231532,0.00296296296296296,0.00293542074363992,0.00284629981024668,0.000400962309542903,0.000407996736026112,0.000419111483654652,0.000430663221360896,0.000440722785368004,0.000452693526482571,0.000457875457875458,0.000463606861381548,0.000468164794007491,0.000471253534401508,0.00215238915195867,0.00210970464135021,0.00206185567010309
0.00301507537688442,0.0029747149231532,0.00296296296296296,0.00293542074363992,0.00284629981024668,0.000400962309542903,0.000407996736026112,0.000419111483654652,0.000430663221360896,0.000440722785368004,0.000452693526482571,0.000457875457875458,0.000463606861381548,0.000468164794007491,0.000471253534401508,0.00215238915195867,0.00210970464135021,0.00206185567010309
0.00301507537688442,0.0029747149231532,0.00296296296296296,0.00293542074363992,0.00284629981024668,0.000400962309542903,0.000407996736026112,0.000419111483654652,0.000430663221360896,0.000440722785368004,0.000452693526482571,0.000457875457875458,0.000463606861381548,0.000468164794007491,0.000471253534401508,0.00215238915195867,0.00210970464135021,0.00206185567010309
0.00301507537688442,0.0029747149231532,0.00296296296296296,0.00293542074363992,0.00284629981024668,0.000400962309542903,0.000407996736026112,0.000419111483654652,0.000430663221360896,0.000440722785368004,0.000452693526482571,0.000457875457875458,0.000463606861381548,0.000468164794007491,0.000471253534401508,0.00215238915195867,0.00210970464135021,0.00206185567010309
0.00301507537688442,0.0029747149231532,0.00296296296296296,0.00293542074363992,0.00284629981024668,0.000400962309542903,0.000407996736026112,0.000419111483654652,0.000430663221360896,0.000440722785368004,0.000452693526482571,0.000457875457875458,0.000463606861381548,0.000468164794007491,0.000471253534401508,0.00215238915195867,0.00210970464135021,0.00206185567010309
0.00301507537688442,0.0029747149231532,0.00296296296296296,0.00293542074363992,0.00284629981024668,0.000400962309542903,0.000407996736026112,0.000419111483654652,0.000430663221360896,0.000440722785368004,0.000452693526482571,0.000457875457875458,0.000463606861381548,0.000468164794007491,0.000471253534401508,0.00215238915195867,0.00210970464135021,0.00206185567010309
0.00301507537688442,0.0029747149231532,0.00296296296296296,0.00293542074363992,0.00284629981024668,0.000400962309542903,0.000407996736026112,0.000419111483654652,0.000430663221360896,0.000440722785368004,0.000452693526482571,0.000457875457875458,0.000463606861381548,0.000468164794007491,0.000471253534401508,0.00215238915195867,0.00210970464135021,0.00206185567010309
0.00301507537688442,0.0029747149231532,0.00296296296296296,0.00293542074363992,0.00284629981024668,0.000400962309542903,0.000407996736026112,0.000419111483654652,0.000430663221360896,0.000440722785368004,0.000452693526482571,0.000457875457875458,0.000463606861381548,0.000468164794007491,0.000471253534401508,0.00215238915195867,0.00210970464135021,0.00206185567010309
0.00301507537688442,0.0029747149231532,0.00296296296296296,0.00293542074363992,0.00284629981024668,0.000400962309542903,0.000407996736026112,0.000419111483654652,0.000430663221360896,0.000440722785368004,0.000452693526482571,0.000457875457875458,0.000463606861381548,0.000468164794007491,0.000471253534401508,0.00215238915195867,0.00210970464135021,0.00206185567010309
0.00301507537688442,0.0029747149231532,0.00296296296296296,0.00293542074363992,0.00284629981024668,0.000400962309542903,0.000407996736026112,0.000419111483654652,0.000430663221360896,0.000440722785368004,0.000452693526482571,0.000457875457875458,0.000463606861381548,0.000468164794007491,0.000471253534401508,0.00215238915195867,0.00210970464135021,0.00206185567010309
0.00301507537688442,0.0029747149231532,0.00296296296296296,0.00293542074363992,0.00284629981024668,0.000400962309542903,0.000407996736026112,0.000419111483654652,0.000430663221360896,0.000440722785368004,0.000452693526482571,0.000457875457875458,0.000463606861381548,0.000468164794007491,0.000471253534401508,0.00215238915195867,0.00210970464135021,0.00206185567010309
0.00301507537688442,0.0029747149231532,0.00296296296296296,0.00293542074363992,0.00284629981024668,0.000400962309542903,0.000407996736026112,0.000419111483654652,0.000430663221360896,0.000440722785368004,0.000452693526482571,0.000457875457875458,0.000463606861381548,0.000468164794007491,0.000471253534401508,0.00215238915195867,0.00210970464135021,0.00206185567010309
0.00301507537688442,0.0029747149231532,0.00296296296296296,0.00293542074363992,0.00284629981024668,0.000400962309542903,0.000407996736026112,0.000419111483654652,0.000430663221360896,0.000440722785368004,0.000452693526482571,0.000457875457875458,0.000463606861381548,0.000468164794007491,0.000471253534401508,0.00215238915195867,0.00210970464135021,0.00206185567010309
0,0.0029747149231532,0.00296296296296296,0.00293542074363992,0.00284629981024668,0.000400962309542903,0.000407996736026112,0.000419111483654652,0.000430663221360896,0.000440722785368004,0.000452693526482571,0.000457875457875458,0.000463606861381548,0.000468164794007491,0.000471253534401508,0.00215238915195867,0.00210970464135021,0.00206185567010309
0,0,0.00296296296296296,0.00293542074363992,0.00284629981024668,0.000400962309542903,0.000407996736026112,0.000419111483654652,0.000430663221360896,0.000440722785368004,0.000452693526482571,0.000457875457875458,0.000463606861381548,0.000468164794007491,0.000471253534401508,0.00215238915195867,0.00210970464135021,0.00206185567010309
0,0,0,0.00293542074363992,0.00284629981024668,0.000400962309542903,0.000407996736026112,0.000419111483654652,0.000430663221360896,0.000440722785368004,0.000452693526482571,0.000457875457875458,0.000463606861381548,0.000468164794007491,0.000471253534401508,0.00215238915195867,0.00210970464135021,0.00206185567010309
0,0,0,0,0.00284629981024668,0.000400962309542903,0.000407996736026112,0.000419111483654652,0.000430663221360896,0.000440722785368004,0.000452693526482571,0.000457875457875458,0.000463606861381548,0.000468164794007491,0.000471253534401508,0.00215238915195867,0.00210970464135021,0.00206185567010309
0,0,0,0,0,0.000400962309542903,0.000407996736026112,0.000419111483654652,0.000430663221360896,0.000440722785368004,0.000452693526482571,0.000457875457875458,0.000463606861381548,0.000468164794007491,0.000471253534401508,0.00215238915195867,0.00210970464135021,0.00206185567010309
0,0,0,0,0,0,0.000407996736026112,0.000419111483654652,0.000430663221360896,0.000440722785368004,0.000452693526482571,0.000457875457875458,0.000463606861381548,0.000468164794007491,0.000471253534401508,0.00215238915195867,0.00210970464135021,0.00206185567010309
0,0,0,0,0,0,0,0.000419111483654652,0.000430663221360896,0.000440722785368004,0.000452693526482571,0.000457875457875458,0.000463606861381548,0.000468164794007491,0.000471253534401508,0.00215238915195867,0.00210970464135021,0.00206185567010309
0,0,0,0,0,0,0,0,0.000430663221360896,0.000440722785368004,0.000452693526482571,0.000457875457875458,0.000463606861381548,0.000468164794007491,0.000471253534401508,0.00215238915195867,0.00210970464135021,0.00206185567010309
0,0,0,0,0,0,0,0,0,0.000440722785368004,0.000452693526482571,0.000457875457875458,0.000463606861381548,0.000468164794007491,0.000471253534401508,0.00215238915195867,0.00210970464135021,0.00206185567010309
0,0,0,0,0,0,0,0,0,0,0.000452693526482571,0.000457875457875458,0.000463606861381548,0.000468164794007491,0.000471253534401508,0.00215238915195867,0.00210970464135021,0.00206185567010309
0,0,0,0,0,0,0,0,0,0,0,0.000457875457875458,0.000463606861381548,0.000468164794007491,0.000471253534401508,0.00215238915195867,0.00210970464135021,0.00206185567010309
0,0,0,0,0,0,0,0,0,0,0,0,0.000463606861381548,0.000468164794007491,0.000471253534401508,0.00215238915195867,0.00210970464135021,0.00206185567010309
0,0,0,0,0,0,0,0,0,0,0,0,0,0.000468164794007491,0.000471253534401508,0.00215238915195867,0.00210970464135021,0.00206185567010309
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000471253534401508,0.00215238915195867,0.00210970464135021,0.00206185567010309
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00215238915195867,0.00210970464135021,0.00206185567010309
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00210970464135021,0.00206185567010309
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00206185567010309
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
