X0.years,X1.years,X2.years,X3.years,X4.years,X5.years,X6.years,X7.years,X8.years,X9.years,X10.years,X11.years,X12.years,X13.years,X14.years,X15.years,X16.years,X17.years
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0010279250091701604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0010279250091701604,0.0010278580682249138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0010279250091701604,0.0010278580682249138,0.0010277387095263151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0010279250091701604,0.0010278580682249138,0.0010277387095263151,0.0010275918706017032,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0010279250091701604,0.0010278580682249138,0.0010277387095263151,0.0010275918706017032,0.0010274445903406925,0,0,0,0,0,0,0,0,0,0,0,0,0
0.013898889826331749,0.0010278580682249138,0.0010277387095263151,0.0010275918706017032,0.0010274445903406925,0.0010311505099659182,0,0,0,0,0,0,0,0,0,0,0,0
0.013898889826331749,0.01389798469724689,0.0010277387095263151,0.0010275918706017032,0.0010274445903406925,0.0010311505099659182,0.0010994671985072124,0,0,0,0,0,0,0,0,0,0,0
