0years,1years,2years,3years,4years,5years,6years,7years,8years,9years,10years,11years,12years,13years,14years,15years,16years,17years
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.003696402168555939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.003696402168555939,0.003761283851554664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.003696402168555939,0.003761283851554664,0.003876970793486689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.003696402168555939,0.003761283851554664,0.003876970793486689,0.0040192926045016075,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.003696402168555939,0.003761283851554664,0.003876970793486689,0.0040192926045016075,0.004162042175360711,0,0,0,0,0,0,0,0,0,0,0,0,0
0.003696402168555939,0.003761283851554664,0.003876970793486689,0.0040192926045016075,0.004162042175360711,5.701254275940707e-4,0,0,0,0,0,0,0,0,0,0,0,0
0.003696402168555939,0.003761283851554664,0.003876970793486689,0.0040192926045016075,0.004162042175360711,5.701254275940707e-4,5.681818181818182e-4,0,0,0,0,0,0,0,0,0,0,0
0.003696402168555939,0.003761283851554664,0.003876970793486689,0.0040192926045016075,0.004162042175360711,5.701254275940707e-4,5.681818181818182e-4,5.657708628005657e-4,0,0,0,0,0,0,0,0,0,0
