"0 years","1 years","2 years","3 years","4 years","5 years","6 years","7 years","8 years","9 years","10 years","11 years","12 years","13 years","14 years","15 years","16 years","17 years"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0962273097052421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0962273097052421,0.0962273097052421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0962273097052421,0.0962273097052421,0.0962273097052421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0962273097052421,0.0962273097052421,0.0962273097052421,0.0962273097052421,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0962273097052421,0.0962273097052421,0.0962273097052421,0.0962273097052421,0.0962273097052421,0,0,0,0,0,0,0,0,0,0,0,0,0
0.216536030391025,0.0962273097052421,0.0962273097052421,0.0962273097052421,0.0962273097052421,0.0962273097052421,0,0,0,0,0,0,0,0,0,0,0,0
0.216536030391025,0.216536030391025,0.0962273097052421,0.0962273097052421,0.0962273097052421,0.0962273097052421,0.0962273097052421,0,0,0,0,0,0,0,0,0,0,0
0.216536030391025,0.216536030391025,0.216536030391025,0.0962273097052421,0.0962273097052421,0.0962273097052421,0.0962273097052421,0.0931924547365224,0,0,0,0,0,0,0,0,0,0
