"age","gender","death.x","death.y","death"
"0-9","Female",0,0,0
"10-19","Female",23.1171232876712,26.3695205479452,3.252397260274
"20-29","Female",0,7.00000000000001,7.00000000000001
"30-39","Female",323.639726027397,369.173287671233,45.533561643836
"40-49","Female",531.693835616438,1038.6,506.906164383562
"50-59","Female",1433.26164383562,1634.9102739726,201.64863013698
"60-69","Female",3814.32534246575,8635.4,4821.07465753425
"70-79","Female",7513.06506849315,20729,13215.9349315069
"80-89","Female",11859.0842465753,16314.4,4455.3157534247
"90+","Female",4646.54178082192,22511.8,17865.2582191781
"0-9","Male",0,0,0
"10-19","Male",23.1171232876712,26.3695205479452,3.252397260274
"20-29","Male",23.1171232876712,26.3695205479452,3.252397260274
"30-39","Male",300.522602739726,846.4,545.877397260274
"40-49","Male",1040.27054794521,3080.6,2040.32945205479
"50-59","Male",2658.46917808219,3032.4948630137,374.02568493151
"60-69","Male",8761.3897260274,18471.8,9710.4102739726
"70-79","Male",11835.9671232877,31650.4,19814.4328767123
"80-89","Male",10379.5883561644,18045.2,7665.6116438356
"90+","Male",2334.82945205479,10817.6,8482.77054794521
