"","age","sex","deaths.x","deaths.y","deaths"
"1","0-4","Female",7771.277807492,16824.518322358,911
"2","0-4","Male",14608.41224682,31601.87139108,1710
"3","20-29","Female",15552.49331039,33658.974340122,1822
"4","20-29","Male",29206.886798234,63213.680477566,3422
"5","30-39","Female",19438.132214136,42066.264653598,2277
"6","30-39","Male",71690.534658884,155157.238373878,8399
"7","40-49","Female",120524.369883968,260844.629016688,14120
"8","40-49","Male",168612.877953602,364912.17530832,19753
"9","5-19","Female",19438.132214136,42066.264653598,2277
"10","5-19","Male",0,0,0
"11","50-59","Female",171067.488718884,370228.84235053,20041
"12","50-59","Male",370407.720867838,801654.013011208,43395
"13","60-69","Female",237153.163168784,513262.092329088,27784
"14","60-69","Male",435459.874995514,942441.34382801,51016
"15","70-79","Female",132181.286595206,286086.375347928,15487
"16","70-79","Male",180557.987831614,390770.058754732,21153
"17","80+","Female",54428.757738662,117801.441342724,6377
"18","80+","Male",57092.06010747,123555.366982798,6688
