"","X","age","sex","deaths.x","deaths.y","deaths"
"1",1,"0-4","Female",7771.277807492,16536.325155584,861
"2",2,"0-4","Male",14608.41224682,31065.235839156,1689
"3",3,"20-29","Female",15552.49331039,33082.588006574,1715
"4",4,"20-29","Male",29206.886798234,62130.471678312,3450
"5",5,"30-39","Female",19438.132214136,41350.750584366,2230
"6",6,"30-39","Male",71690.534658884,152503.873700476,8244
"7",7,"40-49","Female",120524.369883968,256372.666083988,13675
"8",8,"40-49","Male",168612.877953602,358661.364897946,19061
"9",9,"5-19","Female",19438.132214136,41350.750584366,2212
"10",10,"5-19","Male",0,0,0
"11",11,"50-59","Female",171067.488718884,363888.592681502,19375
"12",12,"50-59","Male",370407.720867838,787930.055655522,41968
"13",13,"60-69","Female",237153.163168784,504477.169590184,26992
"14",14,"60-69","Male",435459.874995514,926302.526488666,48909
"15",15,"70-79","Female",132181.286595206,281187.09151277,15237
"16",16,"70-79","Male",180557.987831614,384081.989746494,20468
"17",17,"80+","Female",54428.757738662,115784.089175306,6254
"18",18,"80+","Male",57092.06010747,121438.63786132,6481
