0years,1years,2years,3years,4years,5years,6years,7years,8years,9years,10years,11years,12years,13years,14years,15years,16years,17years
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0035911602209944752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0035911602209944752,0.0035431997819569366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0035911602209944752,0.0035431997819569366,0.0034815211569362613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0035911602209944752,0.0035431997819569366,0.0034815211569362613,0.0034174553101997897,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0035911602209944752,0.0035431997819569366,0.0034815211569362613,0.0034174553101997897,0.003367875647668394,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0035911602209944752,0.0035431997819569366,0.0034815211569362613,0.0034174553101997897,0.003367875647668394,5.031446540880503e-4,0,0,0,0,0,0,0,0,0,0,0,0
0.0035911602209944752,0.0035431997819569366,0.0034815211569362613,0.0034174553101997897,0.003367875647668394,5.031446540880503e-4,5.033979360684622e-4,0,0,0,0,0,0,0,0,0,0,0
0.0035911602209944752,0.0035431997819569366,0.0034815211569362613,0.0034174553101997897,0.003367875647668394,5.031446540880503e-4,5.033979360684622e-4,5.055611729019212e-4,0,0,0,0,0,0,0,0,0,0
