prob,father_age,child_age,gender
0,1,0,male
0,2,0,male
0,3,0,male
0,4,0,male
0,5,0,male
0,6,0,male
0,7,0,male
0,8,0,male
0,9,0,male
0,10,0,male
0,11,0,male
0,12,0,male
0,13,0,male
0,14,0,male
0.00119050785905263,15,0,male
0.00119050785905263,16,0,male
0.00119050785905263,17,0,male
0.00119050785905263,18,0,male
0.00119050785905263,19,0,male
0.018239935908053,20,0,male
0.018239935908053,21,0,male
0.018239935908053,22,0,male
0.018239935908053,23,0,male
0.018239935908053,24,0,male
0.0780302463544969,25,0,male
0.0780302463544969,26,0,male
0.0780302463544969,27,0,male
0.0780302463544969,28,0,male
0.0780302463544969,29,0,male
0.120957673092747,30,0,male
0.120957673092747,31,0,male
0.120957673092747,32,0,male
0.120957673092747,33,0,male
0.120957673092747,34,0,male
0.0918926436320957,35,0,male
0.0918926436320957,36,0,male
0.0918926436320957,37,0,male
0.0918926436320957,38,0,male
0.0918926436320957,39,0,male
0.0388690597094726,40,0,male
0.0388690597094726,41,0,male
0.0388690597094726,42,0,male
0.0388690597094726,43,0,male
0.0388690597094726,44,0,male
0.0143039213105792,45,0,male
0.0143039213105792,46,0,male
0.0143039213105792,47,0,male
0.0143039213105792,48,0,male
0.0143039213105792,49,0,male
0.00500745920745921,50,0,male
0.00500745920745921,51,0,male
0.00500745920745921,52,0,male
0.00500745920745921,53,0,male
0.00500745920745921,54,0,male
0.00176164519326065,55,0,male
0.00176164519326065,56,0,male
0.00176164519326065,57,0,male
0.00176164519326065,58,0,male
0.00176164519326065,59,0,male
6.37473460721868e-4,60,0,male
6.37473460721868e-4,61,0,male
6.37473460721868e-4,62,0,male
6.37473460721868e-4,63,0,male
6.37473460721868e-4,64,0,male
2.50502834156153e-5,65,0,male
2.50502834156153e-5,66,0,male
2.50502834156153e-5,67,0,male
2.50502834156153e-5,68,0,male
2.50502834156153e-5,69,0,male
2.50502834156153e-5,70,0,male
2.50502834156153e-5,71,0,male
2.50502834156153e-5,72,0,male
2.50502834156153e-5,73,0,male
2.50502834156153e-5,74,0,male
2.50502834156153e-5,75,0,male
2.50502834156153e-5,76,0,male
2.50502834156153e-5,77,0,male
2.50502834156153e-5,78,0,male
2.50502834156153e-5,79,0,male
2.50502834156153e-5,80,0,male
2.50502834156153e-5,81,0,male
2.50502834156153e-5,82,0,male
2.50502834156153e-5,83,0,male
2.50502834156153e-5,84,0,male
2.50502834156153e-5,85,0,male
2.50502834156153e-5,86,0,male
2.50502834156153e-5,87,0,male
2.50502834156153e-5,88,0,male
2.50502834156153e-5,89,0,male
2.50502834156153e-5,90,0,male
2.50502834156153e-5,91,0,male
2.50502834156153e-5,92,0,male
2.50502834156153e-5,93,0,male
2.50502834156153e-5,94,0,male
2.50502834156153e-5,95,0,male
2.50502834156153e-5,96,0,male
