"","X","age","gender","deaths.x","deaths.y","deaths"
"1",1,"0-9","Male",4,8,2
"2",2,"10-19","Male",4,11,5
"3",3,"20-29","Male",49,60,6
"4",4,"30-39","Male",187,255,67
"5",5,"40-49","Male",583,772,170
"6",6,"50-59","Male",2349,2962,609
"7",7,"60-69","Male",7681,9150,1517
"8",8,"70-79","Male",18414.4,23281.4,4876
"9",9,"80-89","Male",23520,25507,1939
"10",10,"90+","Male",16008,18507.4,2563
"11",11,"0-9","Female",1,5,1
"12",12,"10-19","Female",8,8,0
"13",13,"20-29","Female",50,69,17
"14",14,"30-39","Female",122,168,40
"15",15,"40-49","Female",402,511,108
"16",16,"50-59","Female",1243,1604,365
"17",17,"60-69","Female",3467,4324,895
"18",18,"70-79","Female",9315.4,12350.4,3068
"19",19,"80-89","Female",17655,19484,1813
"20",20,"90+","Female",26014.6,30404.6,4338
