country,year,age,gender,value,pop,fertility_rate
Italy,2002,15-19,Male,1798,1485,1.2107744107744107
Italy,2002,20-24,Male,16978,1578,10.759188846641319
Italy,2002,25-29,Male,70824,1795,39.456267409470755
Italy,2002,30-34,Male,171311,2176,78.72748161764706
Italy,2002,35-39,Male,166751,2395,69.62463465553236
Italy,2002,40-44,Male,75930,2384,31.8498322147651
Italy,2002,45-49,Male,20282,2134,9.504217432052483
Italy,2002,50-54,Male,4793,1857,2.5810446957458266
Italy,2002,55-59,Male,1292,1854,0.6968716289104638
Italy,2002,60-64,Male,44,1624,0.027093596059113302
Italy,2002,65+,Male,0,4924,0
Italy,2003,15-19,Male,1798,1485,1.2107744107744107
Italy,2003,20-24,Male,16978,1578,10.759188846641319
Italy,2003,25-29,Male,70824,1795,39.456267409470755
Italy,2003,30-34,Male,171311,2176,78.72748161764706
Italy,2003,35-39,Male,166751,2395,69.62463465553236
Italy,2003,40-44,Male,75930,2384,31.8498322147651
Italy,2003,45-49,Male,20282,2134,9.504217432052483
Italy,2003,50-54,Male,4793,1857,2.5810446957458266
Italy,2003,55-59,Male,1292,1854,0.6968716289104638
Italy,2003,60-64,Male,44,1624,0.027093596059113302
Italy,2003,65+,Male,0,4924,0
Italy,2004,15-19,Male,1798,1485,1.2107744107744107
Italy,2004,20-24,Male,16978,1578,10.759188846641319
Italy,2004,25-29,Male,70824,1795,39.456267409470755
Italy,2004,30-34,Male,171311,2176,78.72748161764706
Italy,2004,35-39,Male,166751,2395,69.62463465553236
Italy,2004,40-44,Male,75930,2384,31.8498322147651
Italy,2004,45-49,Male,20282,2134,9.504217432052483
Italy,2004,50-54,Male,4793,1857,2.5810446957458266
Italy,2004,55-59,Male,1292,1854,0.6968716289104638
Italy,2004,60-64,Male,44,1624,0.027093596059113302
Italy,2004,65+,Male,0,4924,0
Italy,2005,15-19,Male,1798,1485,1.2107744107744107
Italy,2005,20-24,Male,16978,1578,10.759188846641319
Italy,2005,25-29,Male,70824,1795,39.456267409470755
Italy,2005,30-34,Male,171311,2176,78.72748161764706
Italy,2005,35-39,Male,166751,2395,69.62463465553236
Italy,2005,40-44,Male,75930,2384,31.8498322147651
Italy,2005,45-49,Male,20282,2134,9.504217432052483
Italy,2005,50-54,Male,4793,1857,2.5810446957458266
Italy,2005,55-59,Male,1292,1854,0.6968716289104638
Italy,2005,60-64,Male,44,1624,0.027093596059113302
Italy,2005,65+,Male,0,4924,0
Italy,2006,15-19,Male,1798,1485,1.2107744107744107
Italy,2006,20-24,Male,16978,1578,10.759188846641319
Italy,2006,25-29,Male,70824,1795,39.456267409470755
Italy,2006,30-34,Male,171311,2176,78.72748161764706
Italy,2006,35-39,Male,166751,2395,69.62463465553236
Italy,2006,40-44,Male,75930,2384,31.8498322147651
Italy,2006,45-49,Male,20282,2134,9.504217432052483
Italy,2006,50-54,Male,4793,1857,2.5810446957458266
Italy,2006,55-59,Male,1292,1854,0.6968716289104638
Italy,2006,60-64,Male,44,1624,0.027093596059113302
Italy,2006,65+,Male,0,4924,0
Italy,2007,15-19,Male,1798,1485,1.2107744107744107
Italy,2007,20-24,Male,16978,1578,10.759188846641319
Italy,2007,25-29,Male,70824,1795,39.456267409470755
Italy,2007,30-34,Male,171311,2176,78.72748161764706
Italy,2007,35-39,Male,166751,2395,69.62463465553236
Italy,2007,40-44,Male,75930,2384,31.8498322147651
Italy,2007,45-49,Male,20282,2134,9.504217432052483
Italy,2007,50-54,Male,4793,1857,2.5810446957458266
Italy,2007,55-59,Male,1292,1854,0.6968716289104638
Italy,2007,60-64,Male,44,1624,0.027093596059113302
Italy,2007,65+,Male,0,4924,0
Italy,2008,15-19,Male,1855,1484,1.25
Italy,2008,20-24,Male,17582,1568,11.213010204081632
Italy,2008,25-29,Male,70376,1753,40.14603536794068
Italy,2008,30-34,Male,169196,2101,80.53117563065207
Italy,2008,35-39,Male,169672,2387,71.08169250104734
Italy,2008,40-44,Male,79531,2392,33.248745819397996
Italy,2008,45-49,Male,21421,2197,9.75011379153391
Italy,2008,50-54,Male,5121,1885,2.716710875331565
Italy,2008,55-59,Male,1067,1818,0.5869086908690869
Italy,2008,60-64,Male,0,1697,0
Italy,2008,65+,Male,0,4975,0
Italy,2009,15-19,Male,1811,1482,1.2219973009446694
Italy,2009,20-24,Male,17319,1562,11.087708066581307
Italy,2009,25-29,Male,67830,1720,39.43604651162791
Italy,2009,30-34,Male,161005,2028,79.39102564102564
Italy,2009,35-39,Male,167172,2370,70.53670886075949
Italy,2009,40-44,Male,79712,2398,33.241034195162634
Italy,2009,45-49,Male,22579,2255,10.012860310421287
Italy,2009,50-54,Male,5372,1924,2.7920997920997923
Italy,2009,55-59,Male,1514,1787,0.8472299944040291
Italy,2009,60-64,Male,71,1760,0.040340909090909094
Italy,2009,65+,Male,0,5032,0
Italy,2010,15-19,Male,1792,1480,1.2108108108108109
Italy,2010,20-24,Male,16945,1558,10.876123234916559
Italy,2010,25-29,Male,65671,1694,38.7668240850059
Italy,2010,30-34,Male,154329,1966,78.49898270600204
Italy,2010,35-39,Male,166658,2340,71.22136752136753
Italy,2010,40-44,Male,81055,2407,33.674698795180724
Italy,2010,45-49,Male,23794,2305,10.322776572668113
Italy,2010,50-54,Male,5621,1973,2.848960973137354
Italy,2010,55-59,Male,1414,1777,0.7957231288688801
Italy,2010,60-64,Male,64,1796,0.035634743875278395
Italy,2010,65+,Male,0,5113,0
Italy,2011,15-19,Male,1756,1478,1.1880920162381596
Italy,2011,20-24,Male,16927,1556,10.87853470437018
Italy,2011,25-29,Male,63518,1674,37.94384707287933
Italy,2011,30-34,Male,145649,1917,75.9775691184142
Italy,2011,35-39,Male,161319,2295,70.29150326797385
Italy,2011,40-44,Male,80387,2415,33.286542443064185
Italy,2011,45-49,Male,24792,2347,10.563272262462718
Italy,2011,50-54,Male,5930,2033,2.9168716182980816
Italy,2011,55-59,Male,1529,1789,0.8546674119619899
Italy,2011,60-64,Male,79,1803,0.043815862451469775
Italy,2011,65+,Male,0,5214,0
Italy,2012,15-19,Male,1756,1478,1.1880920162381596
Italy,2012,20-24,Male,16927,1556,10.87853470437018
Italy,2012,25-29,Male,63518,1674,37.94384707287933
Italy,2012,30-34,Male,145649,1917,75.9775691184142
Italy,2012,35-39,Male,161319,2295,70.29150326797385
Italy,2012,40-44,Male,80387,2415,33.286542443064185
Italy,2012,45-49,Male,24792,2347,10.563272262462718
Italy,2012,50-54,Male,5930,2033,2.9168716182980816
Italy,2012,55-59,Male,1529,1789,0.8546674119619899
Italy,2012,60-64,Male,79,1803,0.043815862451469775
Italy,2012,65+,Male,0,5214,0
Italy,2013,15-19,Male,1588,1475,1.0766101694915253
Italy,2013,20-24,Male,16076,1561,10.2985265855221
Italy,2013,25-29,Male,59852,1655,36.164350453172204
Italy,2013,30-34,Male,133899,1844,72.61334056399133
Italy,2013,35-39,Male,147179,2181,67.48234754699679
Italy,2013,40-44,Male,79236,2429,32.620831617949776
Italy,2013,45-49,Male,24840,2403,10.337078651685394
Italy,2013,50-54,Male,6247,2181,2.8642824392480515
Italy,2013,55-59,Male,1633,1857,0.8793753365643511
Italy,2013,60-64,Male,453,1769,0.2560768795929904
Italy,2013,65+,Male,160,5469,0.029255805448893765
Italy,2014,15-19,Male,1502,1474,1.0189959294436906
Italy,2014,20-24,Male,15330,1562,9.814340588988477
Italy,2014,25-29,Male,58384,1651,35.36281041792853
Italy,2014,30-34,Male,130273,1814,71.81532524807056
Italy,2014,35-39,Male,142109,2123,66.93782383419689
Italy,2014,40-44,Male,77976,2422,32.194880264244425
Italy,2014,45-49,Male,24823,2421,10.253201156546881
Italy,2014,50-54,Male,6523,2252,2.8965364120781527
Italy,2014,55-59,Male,1708,1905,0.8965879265091864
Italy,2014,60-64,Male,497,1758,0.282707622298066
Italy,2014,65+,Male,217,5598,0.038763844230082174
Italy,2015,15-19,Male,1502,1474,1.0189959294436906
Italy,2015,20-24,Male,15330,1562,9.814340588988477
Italy,2015,25-29,Male,58384,1651,35.36281041792853
Italy,2015,30-34,Male,130273,1814,71.81532524807056
Italy,2015,35-39,Male,142109,2123,66.93782383419689
Italy,2015,40-44,Male,77976,2422,32.194880264244425
Italy,2015,45-49,Male,24823,2421,10.253201156546881
Italy,2015,50-54,Male,6523,2252,2.8965364120781527
Italy,2015,55-59,Male,1708,1905,0.8965879265091864
Italy,2015,60-64,Male,497,1758,0.282707622298066
Italy,2015,65+,Male,217,5598,0.038763844230082174
Italy,2016,15-19,Male,1295,1478,0.8761840324763194
Italy,2016,20-24,Male,13464,1557,8.647398843930636
Italy,2016,25-29,Male,54874,1642,33.4190012180268
Italy,2016,30-34,Male,121882,1758,69.32992036405005
Italy,2016,35-39,Male,131227,2012,65.22216699801193
Italy,2016,40-44,Male,76886,2356,32.63412563667232
Italy,2016,45-49,Male,25225,2445,10.316973415132924
Italy,2016,50-54,Male,6915,2354,2.937553101104503
Italy,2016,55-59,Male,1777,2016,0.8814484126984127
Italy,2016,60-64,Male,445,1770,0.2514124293785311
Italy,2016,65+,Male,204,5814,0.03508771929824561
Italy,2017,15-19,Male,1168,1481,0.7886563133018231
Italy,2017,20-24,Male,12614,1551,8.132817537072857
Italy,2017,25-29,Male,54021,1638,32.97985347985348
Italy,2017,30-34,Male,118352,1737,68.13586643638457
