"","X","age","gender","COVID19_deaths.x","COVID19_deaths.y","COVID19_deaths"
"1",1,"0-9","Male",112,392,279
"2",2,"Oct-19","Male",108,309,199
"3",3,"20-29","Male",430,1360,912
"4",4,"30-39","Male",1362,4494,3188
"5",5,"40-49","Male",3702,11765,8028
"6",6,"50-59","Male",7594,22938,15357
"7",7,"60-69","Male",10832,32530,21662
"8",8,"70-79","Male",9666,30054,20403
"9",9,"80-89","Male",5605,19074,13381
"10",10,"90+","Male",1145,4397,3177
"11",11,"0-9","Female",90,309,213
"12",12,"Oct-19","Female",96,302,213
"13",13,"20-29","Female",241,874,644
"14",14,"30-39","Female",667,2290,1564
"15",15,"40-49","Female",1548,5208,3686
"16",16,"50-59","Female",3238,11167,7807
"17",17,"60-69","Female",5506,18470,12932
"18",18,"70-79","Female",5108,17763,12574
"19",19,"80-89","Female",3427,12152,8623
"20",20,"90+","Female",1000,3793,2782
