0years,1years,2years,3years,4years,5years,6years,7years,8years,9years,10years,11years,12years,13years,14years,15years,16years,17years
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.006810327302297215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.006810327302297215,0.006835339726586411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.006810327302297215,0.006835339726586411,0.006867568675686757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.006810327302297215,0.006835339726586411,0.006867568675686757,0.006880616174582799,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.006810327302297215,0.006835339726586411,0.006867568675686757,0.006880616174582799,0.0068384792038785405,0,0,0,0,0,0,0,0,0,0,0,0,0
0.006810327302297215,0.006835339726586411,0.006867568675686757,0.006880616174582799,0.0068384792038785405,5.713469504356521e-4,0,0,0,0,0,0,0,0,0,0,0,0
0.006810327302297215,0.006835339726586411,0.006867568675686757,0.006880616174582799,0.0068384792038785405,5.713469504356521e-4,5.723825423324589e-4,0,0,0,0,0,0,0,0,0,0,0
0.006810327302297215,0.006835339726586411,0.006867568675686757,0.006880616174582799,0.0068384792038785405,5.713469504356521e-4,5.723825423324589e-4,5.7474016954835e-4,0,0,0,0,0,0,0,0,0,0
