"","X","age","gender","deaths.x","deaths.y","deaths"
"1",1,"1-10","Male",0,0,0
"2",2,"11-20","Male",8,23,16
"3",3,"21-30","Male",83,246,139
"4",4,"31-40","Male",110,326,239
"5",5,"41-50","Male",247,730,516
"6",6,"51-60","Male",173,512,325
"7",7,"61-70","Male",154,454,288
"8",8,"71-80","Male",158,467,324
"9",9,"81-90","Male",38,111,77
"10",10,"91+","Male",0,0,0
"11",11,"1-10","Female",16,46,27
"12",12,"11-20","Female",8,23,14
"13",13,"21-30","Female",74,218,142
"14",14,"31-40","Female",140,415,296
"15",15,"41-50","Female",82,243,161
"16",16,"51-60","Female",93,276,186
"17",17,"61-70","Female",66,195,137
"18",18,"71-80","Female",93,274,194
"19",19,"81-90","Female",9,28,16
"20",20,"91+","Female",16,46,35
